Date : 2025-12-03 17:08:13
Directory : c:\laragon\www\MinaPorcoIntegrador\public
Total : 211 files,  80342 codes, 3543 comments, 16078 blanks, all 99963 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\dark-edition\_dark-forms.scss                  | SCSS       |         41 |          0 |         11 |         52 |
| c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\dark-edition\_dark-heartbeat-animation.scss    | SCSS       |         27 |          0 |          1 |         28 |
| c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\dark-edition\_dark-mixins.scss                 | SCSS       |         49 |          0 |          7 |         56 |
| c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\dark-edition\_dark-navbar.scss                 | SCSS       |         30 |          0 |          5 |         35 |
| c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\dark-edition\_dark-popover-tooltip.scss        | SCSS       |         10 |          1 |          2 |         13 |
| c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\dark-edition\_dark-radios.scss                 | SCSS       |          8 |          0 |          2 |         10 |
| c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\dark-edition\_dark-sidebar.scss                | SCSS       |         40 |          0 |          8 |         48 |
| c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\dark-edition\_dark-tables.scss                 | SCSS       |         12 |          0 |          2 |         14 |
| c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\dark-edition\_dark-tabs.scss                   | SCSS       |          6 |          0 |          2 |          8 |
| c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\dark-edition\_dark-variables.scss              | SCSS       |         91 |         24 |         29 |        144 |
| c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\mixins\_alert.scss                             | SCSS       |        104 |         15 |         12 |        131 |
| c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\mixins\_animations.scss                        | SCSS       |         93 |          1 |         16 |        110 |
| c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\mixins\_breakpoints.scss                       | SCSS       |         20 |         10 |          5 |         35 |
| c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\mixins\_buttons.scss                           | SCSS       |        293 |         16 |         48 |        357 |
| c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\mixins\_chartist.scss                          | SCSS       |         61 |         16 |         16 |         93 |
| c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\mixins\_colored-shadows.scss                   | SCSS       |        107 |          8 |         24 |        139 |
| c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\mixins\_drawer.scss                            | SCSS       |        180 |         38 |         36 |        254 |
| c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\mixins\_forms.scss                             | SCSS       |        269 |         77 |         49 |        395 |
| c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\mixins\_hover.scss                             | SCSS       |         15 |          1 |          2 |         18 |
| c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\mixins\_layout.scss                            | SCSS       |         14 |          1 |          2 |         17 |
| c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\mixins\_navbar-colors.scss                     | SCSS       |         16 |          0 |          3 |         19 |
| c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\mixins\_navs.scss                              | SCSS       |         49 |          1 |         12 |         62 |
| c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\mixins\_sidebar-color.scss                     | SCSS       |         53 |          0 |          6 |         59 |
| c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\mixins\_transparency.scss                      | SCSS       |         16 |          2 |          2 |         20 |
| c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\mixins\_type.scss                              | SCSS       |         13 |          1 |          2 |         16 |
| c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\mixins\_utilities.scss                         | SCSS       |         92 |          9 |          9 |        110 |
| c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\mixins\_variables.scss                         | SCSS       |         13 |          6 |          7 |         26 |
| c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\mixins\_vendor-prefixes.scss                   | SCSS       |        174 |          3 |         25 |        202 |
| c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\plugins\_animate.scss                          | SCSS       |        153 |          7 |         71 |        231 |
| c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\plugins\_chartist.scss                         | SCSS       |        254 |         25 |         50 |        329 |
| c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\plugins\_perfect-scrollbar.scss                | SCSS       |        104 |          9 |          1 |        114 |
| c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\variables\_body.scss                           | SCSS       |          1 |          4 |          2 |          7 |
| c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\variables\_bootstrap-material-design-base.scss | SCSS       |         25 |          2 |          7 |         34 |
| c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\variables\_bootstrap-material-design.scss      | SCSS       |        152 |         34 |         50 |        236 |
| c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\variables\_brand.scss                          | SCSS       |          7 |          2 |          4 |         13 |
| c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\variables\_buttons.scss                        | SCSS       |         55 |         22 |         12 |         89 |
| c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\variables\_card.scss                           | SCSS       |          8 |         11 |          2 |         21 |
| c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\variables\_code.scss                           | SCSS       |          1 |          1 |          2 |          4 |
| c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\variables\_colors-map.scss                     | SCSS       |          0 |        310 |          2 |        312 |
| c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\variables\_colors.scss                         | SCSS       |        297 |          2 |         24 |        323 |
| c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\variables\_custom-forms.scss                   | SCSS       |          5 |          0 |          1 |          6 |
| c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\variables\_drawer.scss                         | SCSS       |          2 |          2 |          2 |          6 |
| c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\variables\_dropdown.scss                       | SCSS       |          1 |         18 |          2 |         21 |
| c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\variables\_forms.scss                          | SCSS       |         19 |         12 |          7 |         38 |
| c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\variables\_layout.scss                         | SCSS       |          0 |          1 |          1 |          2 |
| c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\variables\_list-group.scss                     | SCSS       |          3 |         16 |          2 |         21 |
| c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\variables\_menu.scss                           | SCSS       |         12 |          2 |          5 |         19 |
| c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\variables\_modals.scss                         | SCSS       |         15 |         17 |          3 |         35 |
| c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\variables\_nav.scss                            | SCSS       |         25 |         22 |         11 |         58 |
| c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\variables\_pagination.scss                     | SCSS       |          5 |          0 |          2 |          7 |
| c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\variables\_shadow.scss                         | SCSS       |         25 |          2 |          9 |         36 |
| c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\variables\_snackbar.scss                       | SCSS       |          5 |          0 |          2 |          7 |
| c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\variables\_spacing.scss                        | SCSS       |          1 |         24 |          2 |         27 |
| c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\variables\_state.scss                          | SCSS       |          9 |          3 |          5 |         17 |
| c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\variables\_tables.scss                         | SCSS       |          5 |          0 |          2 |          7 |
| c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\variables\_tooltip.scss                        | SCSS       |          1 |          0 |          1 |          2 |
| c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\variables\_type.scss                           | SCSS       |         41 |         47 |         20 |        108 |
| c:\laragon\www\MinaPorcoIntegrador\public\css\app.css                                                                   | PostCSS    |      2,248 |        117 |        230 |      2,595 |
| c:\laragon\www\MinaPorcoIntegrador\public\css\style.css                                                                 | PostCSS    |        647 |         43 |         94 |        784 |
| c:\laragon\www\MinaPorcoIntegrador\public\index.php                                                                     | PHP        |         10 |          4 |          7 |         21 |
| c:\laragon\www\MinaPorcoIntegrador\public\js\app.js                                                                     | JavaScript |      8,643 |      1,085 |      1,126 |     10,854 |
| c:\laragon\www\MinaPorcoIntegrador\public\js\dashboard.js                                                               | JavaScript |         51 |          2 |          1 |         54 |
| c:\laragon\www\MinaPorcoIntegrador\public\mix-manifest.json                                                             | JSON       |          4 |          0 |          1 |          5 |
| Total                                                                                                                   |            |     80,342 |      3,543 |     16,078 |     99,963 |
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
